example_id                                                                       | status | run_time        |
./spec/lib/teitofo/article_part/ref_spec.rb[1:4:4]                               | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:5:1]                               | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:5:2]                               | passed | 0.00016 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:5:3]                               | passed | 0.00017 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:6:1]                               | passed | 0.00016 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:6:2]                               | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:6:3]                               | passed | 0.00017 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:7:1]                               | passed | 0.00017 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:7:2]                               | passed | 0.00014 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:7:3]                               | passed | 0.00016 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:8:1]                               | passed | 0.00019 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:8:2]                               | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:8:3]                               | passed | 0.0002 seconds  |
./spec/lib/teitofo/article_part/ref_spec.rb[1:9:1]                               | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:9:2]                               | passed | 0.00017 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:9:3]                               | passed | 0.00017 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:10:1]                              | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/ref_spec.rb[1:12:1]                              | passed | 0.00026 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:1:1]                           | passed | 0.00016 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:2:1]                           | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:3:1:1]                         | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:3:1:2]                         | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:4:1]                           | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:4:2]                           | passed | 0.00161 seconds |
./spec/lib/teitofo/article_part/section_spec.rb[1:5:1]                           | passed | 0.00126 seconds |
./spec/lib/teitofo/article_part/table_cell_spec.rb[1:1:1]                        | passed | 0.00018 seconds |
./spec/lib/teitofo/article_part/table_cell_spec.rb[1:1:2]                        | passed | 0.00019 seconds |
./spec/lib/teitofo/article_part/table_cell_spec.rb[1:1:3]                        | passed | 0.00017 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:1:1]                        | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:1:2]                        | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:2:1]                        | passed | 0.00022 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:2:2]                        | passed | 0.00015 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:3:1]                        | passed | 0.00023 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:4:1]                        | passed | 0.00172 seconds |
./spec/lib/teitofo/article_part/text_block_spec.rb[1:4:2]                        | passed | 0.00027 seconds |
./spec/lib/teitofo/builder/article_meta_builder_spec.rb[1:1:1]                   | passed | 0.00015 seconds |
./spec/lib/teitofo/builder/ref_builder_spec.rb[1:1:1]                            | passed | 0.00096 seconds |
./spec/lib/teitofo/builder/ref_builder_spec.rb[1:2:1:1]                          | passed | 0.00022 seconds |
./spec/lib/teitofo/builder/ref_builder_spec.rb[1:2:2:1]                          | passed | 0.00023 seconds |
